Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   -0.193727      -0.02%       119.03 ms/ev ->        98.01 ms/ev inclusiveCandidateVertexFinderCvsL
   -0.193062      -0.01%        67.75 ms/ev ->        55.82 ms/ev siPixelClusters
   -0.187903      -0.01%        68.72 ms/ev ->        56.91 ms/ev siPixelClustersPreSplitting
   -0.178090      -0.06%       375.80 ms/ev ->       314.35 ms/ev candidateVertexArbitrator
   +0.177149      +0.04%       203.75 ms/ev ->       243.35 ms/ev pfNoPileUpIso
   -0.176286      -0.06%       360.06 ms/ev ->       301.73 ms/ev generalV0Candidates
   +0.176253      +0.03%       133.12 ms/ev ->       158.85 ms/ev offlinePrimaryVertices
   -0.176056      -0.00%        20.54 ms/ev ->        17.22 ms/ev lowPtTripletStepSeeds
   +0.175350      +0.01%        45.57 ms/ev ->        54.33 ms/ev firstStepPrimaryVertices
   +0.174677      +0.03%       133.42 ms/ev ->       158.95 ms/ev offlinePrimaryVerticesWithBS
   -0.172189      -0.06%       376.78 ms/ev ->       317.04 ms/ev trackVertexArbitrator
   -0.171911      -0.00%         9.16 ms/ev ->         7.71 ms/ev muonsFromCosmics1Leg
   +0.171384      +0.00%         4.59 ms/ev ->         5.45 ms/ev particleFlowClusterHBHE
   +0.170798      +0.02%       121.80 ms/ev ->       144.55 ms/ev offlinePrimaryVertices4DWithBS
   +0.169747      +0.02%       122.78 ms/ev ->       145.56 ms/ev offlinePrimaryVertices4D
   -0.167352      -0.02%       104.59 ms/ev ->        88.44 ms/ev inclusiveVertexFinder
   +0.163535      +0.02%       118.53 ms/ev ->       139.63 ms/ev offlinePrimaryVertices4DnoPIDWithBS
   +0.162632      +0.02%       119.47 ms/ev ->       140.62 ms/ev offlinePrimaryVertices4DnoPID
   +0.157838      +0.00%        24.25 ms/ev ->        28.40 ms/ev lowPtGsfEleGsfTracks
   -0.157793      -0.07%       444.04 ms/ev ->       379.09 ms/ev candidateVertexArbitratorCvsL
   -0.149833      -0.00%         7.00 ms/ev ->         6.03 ms/ev cscSegments
   -0.141371      -0.02%       124.36 ms/ev ->       107.94 ms/ev conversionTrackCandidates
   -0.138671      -0.01%        54.42 ms/ev ->        47.37 ms/ev highPtTripletStepSeeds
   -0.138588      -0.00%         5.82 ms/ev ->         5.07 ms/ev siPhase2Clusters
   -0.136373      -0.44%      3363.03 ms/ev ->      2933.68 ms/ev pfTrackElec
   -0.135817      -0.00%        12.76 ms/ev ->        11.13 ms/ev muonSeededTracksInOut
   -0.125786      -0.00%         7.03 ms/ev ->         6.20 ms/ev particleFlowEGamma
   +0.124540      +0.25%      1857.84 ms/ev ->      2104.58 ms/ev electronGsfTracks
   -0.123540      -0.00%        12.22 ms/ev ->        10.80 ms/ev particleFlowSuperClusterECAL
   +0.121898      +0.16%      1192.59 ms/ev ->      1347.40 ms/ev electronGsfTracksFromMultiCl
   -0.119376      -0.00%        12.00 ms/ev ->        10.64 ms/ev particleFlowSuperClusterOOTECAL
   -0.117702      -0.00%         5.31 ms/ev ->         4.72 ms/ev muPFIsoDepositGamma
   +0.109976      +0.00%        13.30 ms/ev ->        14.85 ms/ev muonsFromCosmics
   -0.109703      -0.13%      1174.34 ms/ev ->      1052.21 ms/ev particleFlowDisplacedVertex
   -0.109338      -0.30%      2806.58 ms/ev ->      2515.62 ms/ev ticlTrackstersMIP
   -0.106292      -0.13%      1207.00 ms/ev ->      1085.18 ms/ev muonSimClassifier
   -0.101892      -0.36%      3634.57 ms/ev ->      3282.19 ms/ev ticlTrackstersTrk
   -0.101313      -0.00%         7.10 ms/ev ->         6.41 ms/ev csc2DRecHits
   -0.100669      -0.00%         6.59 ms/ev ->         5.96 ms/ev photonCoreFromMultiCl
   -0.097994      -0.01%       121.93 ms/ev ->       110.54 ms/ev detachedQuadStepHitDoublets
   -0.096882      -0.01%       151.02 ms/ev ->       137.06 ms/ev allConversions
   -0.093516      -0.00%         9.22 ms/ev ->         8.39 ms/ev conversions
   -0.090182      -0.00%        24.46 ms/ev ->        22.35 ms/ev pfSecondaryVertexTagInfos
   -0.089712      -0.01%        57.95 ms/ev ->        52.98 ms/ev trackTimeValueMapProducer
   -0.086336      -0.01%        82.06 ms/ev ->        75.27 ms/ev highPtTripletStepHitDoublets
   -0.085809      -0.00%        45.63 ms/ev ->        41.87 ms/ev cosmicsVetoTrackCandidates
   -0.085323      -0.00%         8.64 ms/ev ->         7.94 ms/ev mtdUncalibratedRecHits
   -0.085153      -0.00%        48.70 ms/ev ->        44.73 ms/ev pixelPairStepTracks
   -0.085061      -0.01%        66.28 ms/ev ->        60.87 ms/ev globalMuons
   -0.084902      -0.00%        39.13 ms/ev ->        35.94 ms/ev detachedQuadStepSeeds
   +0.084334      +0.00%         8.79 ms/ev ->         9.56 ms/ev recoTauAK4PFJets08Region
   -0.084179      -0.01%        67.85 ms/ev ->        62.37 ms/ev simPFProducer
   +0.082432      +0.00%         9.19 ms/ev ->         9.98 ms/ev particleFlow
   -0.082386      -0.01%       166.15 ms/ev ->       153.00 ms/ev cosmicsVeto
   -0.082171      -0.00%         5.41 ms/ev ->         4.98 ms/ev pfChargeBJetTags
   -0.078100      -0.00%         9.22 ms/ev ->         8.53 ms/ev muonSeededSeedsInOut
   -0.075728      -0.01%        74.46 ms/ev ->        69.03 ms/ev muonMETValueMapProducer
   -0.074630      -0.05%       733.72 ms/ev ->       680.93 ms/ev particleFlowSuperClusterHGCal
   -0.073483      -0.02%       214.92 ms/ev ->       199.68 ms/ev particleFlowTmpBarrel
   -0.071940      -0.01%        72.69 ms/ev ->        67.64 ms/ev lowPtQuadStepHitDoublets
   +0.069812      +0.11%      1498.96 ms/ev ->      1607.39 ms/ev earlyGeneralTracks
   -0.068818      -0.00%        26.64 ms/ev ->        24.87 ms/ev muPFIsoDepositPU
   -0.067765      -0.01%       202.58 ms/ev ->       189.30 ms/ev ticlTrackstersMerge
   -0.067050      -0.00%        54.49 ms/ev ->        50.96 ms/ev tevMuons
   -0.066449      -0.00%        44.47 ms/ev ->        41.61 ms/ev lowPtTripletStepHitDoublets
   -0.065962      -0.02%       231.88 ms/ev ->       217.07 ms/ev particleFlowSuperClusterHGCalFromMultiCl
   -0.065757      -0.00%         5.38 ms/ev ->         5.04 ms/ev dt4DCosmicSegments
   -0.064923      -0.46%      7022.69 ms/ev ->      6581.09 ms/ev trackExtenderWithMTD
   -0.064381      -0.00%        10.50 ms/ev ->         9.85 ms/ev mtdTrackingRecHits
   -0.063960      -0.00%        13.90 ms/ev ->        13.04 ms/ev ak4JetTracksAssociatorAtCaloFace
   -0.062412      -0.00%        24.94 ms/ev ->        23.43 ms/ev siPixelClusterShapeCache
   -0.062168      -0.00%        11.17 ms/ev ->        10.50 ms/ev pixelClusterTagInfos
   -0.060981      -0.03%       498.93 ms/ev ->       469.40 ms/ev lowPtTripletStepTrackCandidates
   -0.060130      -0.01%       147.29 ms/ev ->       138.69 ms/ev pixelPairStepTrackCandidates
   -0.060033      -0.01%       205.82 ms/ev ->       193.83 ms/ev earlyDisplacedMuons
   -0.059362      -0.00%         6.48 ms/ev ->         6.10 ms/ev gedGsfElectronCores
   -0.059148      -0.00%        48.17 ms/ev ->        45.40 ms/ev CSCHaloData
   -0.058462      -0.00%        20.38 ms/ev ->        19.22 ms/ev muonSeededTrackCandidatesInOut
   -0.058191      -0.00%        11.67 ms/ev ->        11.01 ms/ev mtdClusters
   -0.055081      -0.05%       929.09 ms/ev ->       879.29 ms/ev highPtTripletStepTrackCandidates
   -0.055069      -0.00%        40.96 ms/ev ->        38.76 ms/ev ticlMultiClustersFromTrackstersMIP
   -0.054816      -0.01%       204.02 ms/ev ->       193.13 ms/ev earlyMuons
   -0.051148      -0.08%      1592.67 ms/ev ->      1513.24 ms/ev muons1stStep
   +0.049398      +0.02%       463.09 ms/ev ->       486.55 ms/ev tripletElectronHitTriplets
   -0.048581      -0.00%        28.18 ms/ev ->        26.84 ms/ev pixelPairStepSeeds
   -0.047130      -0.00%        22.44 ms/ev ->        21.41 ms/ev pfGhostTrackVertexTagInfos
   -0.047116      -0.01%       248.55 ms/ev ->       237.11 ms/ev trackerDrivenElectronSeeds
   -0.046717      -0.00%         6.95 ms/ev ->         6.63 ms/ev initialStepSelector
   -0.046581      -0.10%      2215.24 ms/ev ->      2114.40 ms/ev detachedQuadStepHitQuadruplets
   +0.045939      +0.01%       300.60 ms/ev ->       314.74 ms/ev gsfGeneralInOutOutInConversionTrackMerger
   -0.044632      -0.00%        51.73 ms/ev ->        49.47 ms/ev ticlMultiClustersFromTrackstersTrk
   -0.044483      -0.01%       140.53 ms/ev ->       134.41 ms/ev lowPtTripletStepTracks
   -0.044322      -0.00%         6.65 ms/ev ->         6.37 ms/ev pfCombinedMVAV2BJetTags
   -0.044201      -0.01%       179.67 ms/ev ->       171.90 ms/ev particleFlowRecHitHGC
   -0.044028      -0.01%       277.53 ms/ev ->       265.58 ms/ev lowPtTripletStepHitTriplets
   -0.043163      -0.00%        84.05 ms/ev ->        80.50 ms/ev initialStepHitDoublets
   -0.042998      -0.03%       613.31 ms/ev ->       587.50 ms/ev ecalDrivenGsfElectronCoresFromMultiCl
   +0.042909      +0.03%       564.89 ms/ev ->       589.66 ms/ev tripletElectronSeeds
   +0.041814      +0.00%        40.81 ms/ev ->        42.56 ms/ev tofPID4DnoPID
   +0.041678      +0.05%      1030.42 ms/ev ->      1074.28 ms/ev initialStepTracks
   -0.041050      -0.12%      2892.49 ms/ev ->      2776.14 ms/ev ecalDrivenGsfElectronsFromMultiCl
   -0.040933      -0.00%        52.28 ms/ev ->        50.18 ms/ev pixelPairStepHitDoublets
   -0.040756      -0.00%        89.76 ms/ev ->        86.18 ms/ev preDuplicateMergingGeneralTracks
   -0.039759      -0.00%        10.60 ms/ev ->        10.18 ms/ev lowPtGsfElectronCores
   -0.039645      -0.02%       474.63 ms/ev ->       456.18 ms/ev duplicateTrackCandidates
   -0.039463      -0.00%        13.03 ms/ev ->        12.53 ms/ev hpsPFTauProducerSansRefs
   -0.038713      -0.00%        42.92 ms/ev ->        41.29 ms/ev refittedStandAloneMuons
   -0.038685      -0.00%         9.07 ms/ev ->         8.72 ms/ev photonsFromMultiCl
   +0.038317      +0.02%       607.47 ms/ev ->       631.21 ms/ev lowPtQuadStepTracks
   +0.036814      +0.01%       216.40 ms/ev ->       224.52 ms/ev initialStepSeeds
   +0.036690      +0.00%        42.36 ms/ev ->        43.94 ms/ev tofPID
   -0.036522      -0.00%        30.77 ms/ev ->        29.67 ms/ev pfRecoTauTagInfoProducer
   +0.036478      +0.00%        70.77 ms/ev ->        73.40 ms/ev hgcalDigis
   +0.035504      +0.00%        17.18 ms/ev ->        17.80 ms/ev detachedQuadStep
   -0.035502      -0.00%        15.82 ms/ev ->        15.27 ms/ev hgcalTrackCollection
   -0.035144      -0.00%        35.24 ms/ev ->        34.02 ms/ev gedGsfElectronsTmp
   -0.032911      -0.01%       154.52 ms/ev ->       149.52 ms/ev ecalDrivenGsfElectronCores
   -0.032743      -0.00%         6.87 ms/ev ->         6.65 ms/ev pfCombinedCvsBJetTags
   -0.032491      -0.00%         8.45 ms/ev ->         8.18 ms/ev photons
   +0.032208      +0.00%        16.30 ms/ev ->        16.84 ms/ev tripletElectronHitDoublets
   -0.032122      -0.01%       191.85 ms/ev ->       185.78 ms/ev detachedQuadStepTracks
   -0.030704      -0.02%       742.93 ms/ev ->       720.46 ms/ev tpClusterProducer
   -0.030366      -0.11%      3459.52 ms/ev ->      3356.04 ms/ev ecalDrivenElectronSeeds
   +0.029741      +0.05%      1696.90 ms/ev ->      1748.13 ms/ev unsortedOfflinePrimaryVertices
   -0.029333      -0.00%       138.78 ms/ev ->       134.77 ms/ev pfTrack
   -0.029171      -0.00%         5.97 ms/ev ->         5.80 ms/ev gedPhotonsTmp
   -0.029013      -0.01%       466.49 ms/ev ->       453.15 ms/ev highPtTripletStepHitTriplets
   -0.028753      -0.01%       191.11 ms/ev ->       185.69 ms/ev hpsPFTauBasicDiscriminatorsdR03
   -0.028599      -0.02%       750.90 ms/ev ->       729.72 ms/ev ecalDrivenGsfElectrons
   -0.028562      -0.00%        37.17 ms/ev ->        36.13 ms/ev standAloneMuons
   -0.027405      -0.00%        14.77 ms/ev ->        14.37 ms/ev dedxPixelHarmonic2
   -0.027239      -0.02%       600.64 ms/ev ->       584.50 ms/ev trackExtrapolator
   +0.027212      +0.06%      2012.52 ms/ev ->      2068.04 ms/ev unsortedOfflinePrimaryVertices4D
   -0.026291      -0.01%       313.30 ms/ev ->       305.17 ms/ev ak4JetTracksAssociatorAtVertexJPT
   +0.025313      +0.00%       118.42 ms/ev ->       121.46 ms/ev pfImpactParameterTagInfos
   -0.025286      -0.00%        20.48 ms/ev ->        19.97 ms/ev generalTracks
   -0.025181      -0.00%       118.83 ms/ev ->       115.87 ms/ev cosmicMuons
   +0.025176      +0.05%      1850.83 ms/ev ->      1898.02 ms/ev initialStepTrackCandidates
   -0.025066      -0.04%      1696.58 ms/ev ->      1654.58 ms/ev ecalDrivenElectronSeedsFromMultiCl
   -0.025044      -0.00%        57.05 ms/ev ->        55.63 ms/ev siPixelRecHits
   -0.024888      -0.00%        59.23 ms/ev ->        57.77 ms/ev photonIDValueMaps
   -0.024690      -0.00%       192.09 ms/ev ->       187.41 ms/ev hpsPFTauBasicDiscriminators
   +0.024283      +0.00%        27.19 ms/ev ->        27.86 ms/ev ticlLayerTileProducer
   -0.023771      -0.00%         5.87 ms/ev ->         5.73 ms/ev lowPtGsfEleCkfTrackCandidates
   -0.023323      -0.00%        89.28 ms/ev ->        87.22 ms/ev ak4PFJetsRecoTauChargedHadrons
   +0.023298      +0.01%       261.78 ms/ev ->       267.95 ms/ev hgcalMultiClusters
   -0.022199      -0.00%       116.01 ms/ev ->       113.46 ms/ev JetPlusTrackZSPCorJetAntiKt4
   -0.021703      -0.01%       523.99 ms/ev ->       512.74 ms/ev lowPtQuadStepHitQuadruplets
   -0.021452      -0.00%        39.29 ms/ev ->        38.46 ms/ev uncleanedOnlyPfTrack
   -0.021438      -0.00%        60.06 ms/ev ->        58.78 ms/ev ticlMultiClustersFromTrackstersMerge
   +0.021157      +0.00%        15.24 ms/ev ->        15.56 ms/ev electronMergedSeeds
   -0.020781      -0.01%       466.75 ms/ev ->       457.15 ms/ev highPtTripletStepTracks
   -0.018771      -0.00%       109.75 ms/ev ->       107.71 ms/ev lowPtQuadStepSeeds
   -0.018501      -0.00%        39.03 ms/ev ->        38.31 ms/ev lowPtGsfElePfTracks
   -0.017753      -0.00%         6.65 ms/ev ->         6.53 ms/ev particleFlowTmp
   +0.017680      +0.00%        55.07 ms/ev ->        56.06 ms/ev HGCalRecHit
   +0.017385      +0.01%       453.08 ms/ev ->       461.03 ms/ev firstStepPrimaryVerticesUnsorted
   +0.017284      +0.00%       148.21 ms/ev ->       150.79 ms/ev pfPileUpJME
   -0.017264      -0.00%        53.11 ms/ev ->        52.20 ms/ev lowPtGsfElectrons
   +0.016785      +0.00%       150.35 ms/ev ->       152.89 ms/ev pfPileUpIso
   -0.016640      -0.00%        20.68 ms/ev ->        20.33 ms/ev hpsPFTauPrimaryVertexProducer
   +0.015217      +0.00%         5.47 ms/ev ->         5.56 ms/ev dt4DSegments
   -0.014981      -0.01%       507.46 ms/ev ->       499.92 ms/ev particleFlowBlock
   -0.014878      -0.00%        81.68 ms/ev ->        80.48 ms/ev ticlTrackstersEM
   -0.014241      -0.02%      1644.27 ms/ev ->      1621.02 ms/ev electronCkfTrackCandidates
   -0.014171      -0.00%        10.60 ms/ev ->        10.45 ms/ev muonCSCDigis
   -0.013986      -0.00%       147.75 ms/ev ->       145.70 ms/ev ecalMultiFitUncalibRecHit
   -0.013963      -0.00%        31.86 ms/ev ->        31.41 ms/ev mtdTrackQualityMVA
   -0.013147      -0.00%       337.33 ms/ev ->       332.93 ms/ev particleFlowClusterHGCalFromMultiCl
   +0.013046      +0.00%       159.99 ms/ev ->       162.09 ms/ev cosmicMuons1Leg
   +0.012139      +0.00%        19.59 ms/ev ->        19.82 ms/ev ak4PFJetsCHS
   +0.012076      +0.00%         5.14 ms/ev ->         5.20 ms/ev ticlMultiClustersFromTrackstersHAD
   -0.011696      -0.00%        11.02 ms/ev ->        10.89 ms/ev ak8PFJetsPuppi
   -0.010693      -0.03%      2563.01 ms/ev ->      2535.75 ms/ev lowPtQuadStepTrackCandidates
   +0.010033      +0.01%      1239.68 ms/ev ->      1252.18 ms/ev lowPtGsfElectronSeeds
   +0.009919      +0.00%       181.48 ms/ev ->       183.28 ms/ev combinatoricRecoTaus
   +0.009510      +0.00%        75.73 ms/ev ->        76.45 ms/ev displacedStandAloneMuons
   -0.009458      -0.00%        20.85 ms/ev ->        20.66 ms/ev lowPtGsfElePfGsfTracks
   -0.009418      -0.00%       114.78 ms/ev ->       113.71 ms/ev ticlTrackstersHAD
   -0.007726      -0.00%       443.21 ms/ev ->       439.80 ms/ev puppiNoLep
   +0.007276      +0.01%       975.33 ms/ev ->       982.45 ms/ev electronCkfTrackCandidatesFromMultiCl
   -0.006730      -0.01%       750.04 ms/ev ->       745.01 ms/ev hgcalLayerClusters
   -0.006504      -0.00%       267.46 ms/ev ->       265.73 ms/ev detachedQuadStepTrackCandidates
   -0.005600      -0.00%         9.96 ms/ev ->         9.90 ms/ev pfCombinedCvsLJetTags
   -0.005566      -0.00%        33.27 ms/ev ->        33.09 ms/ev ak4PFJets
   +0.004604      +0.00%         7.54 ms/ev ->         7.58 ms/ev electronMergedSeedsFromMultiCl
   -0.004089      -0.00%         9.64 ms/ev ->         9.60 ms/ev ak4PFJetsPuppi
   -0.003767      -0.01%      1507.86 ms/ev ->      1502.19 ms/ev unsortedOfflinePrimaryVertices4DnoPID
   -0.002807      -0.00%       433.86 ms/ev ->       432.64 ms/ev initialStepHitQuadruplets
   -0.001440      -0.00%        43.37 ms/ev ->        43.31 ms/ev HGCalUncalibRecHit
   -0.000677      -0.00%        15.21 ms/ev ->        15.20 ms/ev ak4CaloJets
   -0.000553      -0.00%       437.90 ms/ev ->       437.66 ms/ev puppi
  ---------- ------------     --------                  ----       ------------
Job total:  96.9867 s/ev ==> 122.458 s/ev
