Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +0.170898      +0.02%       123.08 ms/ev ->       146.08 ms/ev offlinePrimaryVertices4DWithBS
   +0.170012      +0.01%        46.33 ms/ev ->        54.94 ms/ev firstStepPrimaryVertices
   +0.169893      +0.02%       124.07 ms/ev ->       147.11 ms/ev offlinePrimaryVertices4D
   -0.168069      -0.06%       379.57 ms/ev ->       320.72 ms/ev trackVertexArbitrator
   -0.166718      -0.01%        66.63 ms/ev ->        56.38 ms/ev siPixelRecHits
   +0.163725      +0.02%       119.76 ms/ev ->       141.12 ms/ev offlinePrimaryVertices4DnoPIDWithBS
   +0.162825      +0.02%       120.72 ms/ev ->       142.12 ms/ev offlinePrimaryVertices4DnoPID
   -0.161327      -0.02%       105.14 ms/ev ->        89.44 ms/ev inclusiveVertexFinder
   +0.157634      +0.00%        24.58 ms/ev ->        28.79 ms/ev lowPtGsfEleGsfTracks
   -0.155506      -0.07%       449.09 ms/ev ->       384.29 ms/ev candidateVertexArbitratorCvsL
   +0.154747      +0.00%         4.73 ms/ev ->         5.52 ms/ev particleFlowClusterHBHE
   -0.139407      -0.01%        55.02 ms/ev ->        47.85 ms/ev highPtTripletStepSeeds
   -0.138658      -0.00%         7.15 ms/ev ->         6.22 ms/ev cscSegments
   -0.138477      -0.00%         5.88 ms/ev ->         5.11 ms/ev siPhase2Clusters
   -0.135599      -0.43%      3397.22 ms/ev ->      2965.80 ms/ev pfTrackElec
   -0.126643      -0.00%        12.82 ms/ev ->        11.29 ms/ev muonSeededTracksInOut
   -0.125428      -0.00%         7.13 ms/ev ->         6.29 ms/ev particleFlowEGamma
   +0.125275      +0.25%      1876.91 ms/ev ->      2127.75 ms/ev electronGsfTracks
   -0.122309      -0.00%        12.35 ms/ev ->        10.92 ms/ev particleFlowSuperClusterECAL
   -0.121015      -0.01%       124.36 ms/ev ->       110.17 ms/ev conversionTrackCandidates
   +0.119800      +0.15%      1204.86 ms/ev ->      1358.40 ms/ev electronGsfTracksFromMultiCl
   -0.118007      -0.00%        12.12 ms/ev ->        10.77 ms/ev particleFlowSuperClusterOOTECAL
   -0.115621      -0.00%         5.34 ms/ev ->         4.76 ms/ev muPFIsoDepositGamma
   +0.112716      +0.00%        13.40 ms/ev ->        14.99 ms/ev muonsFromCosmics
   -0.108531      -0.12%      1186.70 ms/ev ->      1064.54 ms/ev particleFlowDisplacedVertex
   -0.108357      -0.29%      2834.75 ms/ev ->      2543.37 ms/ev ticlTrackstersMIP
   -0.102564      -0.12%      1213.43 ms/ev ->      1095.05 ms/ev muonSimClassifier
   -0.099547      -0.35%      3667.80 ms/ev ->      3320.00 ms/ev ticlTrackstersTrk
   -0.098735      -0.00%        12.40 ms/ev ->        11.24 ms/ev pfCombinedCvsBJetTags
   -0.098142      -0.01%       123.26 ms/ev ->       111.73 ms/ev detachedQuadStepHitDoublets
   -0.096178      -0.01%       152.54 ms/ev ->       138.54 ms/ev allConversions
   -0.093659      -0.00%         6.63 ms/ev ->         6.04 ms/ev photonCoreFromMultiCl
   -0.090681      -0.01%        83.25 ms/ev ->        76.03 ms/ev highPtTripletStepHitDoublets
   -0.090402      -0.00%        24.93 ms/ev ->        22.77 ms/ev pfSecondaryVertexTagInfos
   -0.089867      -0.00%         9.30 ms/ev ->         8.50 ms/ev conversions
   -0.089579      -0.01%        58.55 ms/ev ->        53.53 ms/ev trackTimeValueMapProducer
   -0.087776      -0.00%        49.27 ms/ev ->        45.13 ms/ev pixelPairStepTracks
   -0.086355      -0.00%         8.75 ms/ev ->         8.02 ms/ev mtdUncalibratedRecHits
   -0.085243      -0.00%        39.53 ms/ev ->        36.30 ms/ev detachedQuadStepSeeds
   +0.085138      +0.00%         8.88 ms/ev ->         9.67 ms/ev recoTauAK4PFJets08Region
   -0.084073      -0.01%        68.79 ms/ev ->        63.24 ms/ev simPFProducer
   -0.083983      -0.00%         5.55 ms/ev ->         5.10 ms/ev dt4DCosmicSegments
   -0.082800      -0.00%        46.15 ms/ev ->        42.48 ms/ev cosmicsVetoTrackCandidates
   +0.082481      +0.00%         9.28 ms/ev ->        10.07 ms/ev particleFlow
   -0.082121      -0.01%       167.61 ms/ev ->       154.38 ms/ev cosmicsVeto
   -0.077843      -0.01%        66.78 ms/ev ->        61.78 ms/ev globalMuons
   -0.074617      -0.00%        11.61 ms/ev ->        10.77 ms/ev pixelClusterTagInfos
   -0.074534      -0.00%        49.47 ms/ev ->        45.92 ms/ev CSCHaloData
   -0.073794      -0.05%       744.57 ms/ev ->       691.58 ms/ev particleFlowSuperClusterHGCal
   -0.073250      -0.01%        74.92 ms/ev ->        69.63 ms/ev muonMETValueMapProducer
   -0.073082      -0.00%        55.80 ms/ev ->        51.86 ms/ev tevMuons
   -0.071832      -0.01%        73.49 ms/ev ->        68.39 ms/ev lowPtQuadStepHitDoublets
   -0.071631      -0.02%       218.12 ms/ev ->       203.04 ms/ev particleFlowTmpBarrel
   +0.069755      +0.11%      1514.95 ms/ev ->      1624.45 ms/ev earlyGeneralTracks
   -0.068919      -0.00%         9.28 ms/ev ->         8.66 ms/ev muonSeededSeedsInOut
   -0.067458      -0.00%         6.01 ms/ev ->         5.62 ms/ev pfChargeBJetTags
   -0.066748      -0.00%        44.96 ms/ev ->        42.05 ms/ev lowPtTripletStepHitDoublets
   -0.066630      -0.01%       205.11 ms/ev ->       191.89 ms/ev ticlTrackstersMerge
   -0.066284      -0.02%       234.24 ms/ev ->       219.21 ms/ev particleFlowSuperClusterHGCalFromMultiCl
   -0.065294      -0.00%        26.79 ms/ev ->        25.10 ms/ev muPFIsoDepositPU
   -0.065195      -0.45%      7096.26 ms/ev ->      6648.23 ms/ev trackExtenderWithMTD
   -0.064466      -0.00%        10.62 ms/ev ->         9.95 ms/ev mtdTrackingRecHits
   -0.063161      -0.00%        14.05 ms/ev ->        13.19 ms/ev ak4JetTracksAssociatorAtCaloFace
   -0.062858      -0.00%        25.32 ms/ev ->        23.78 ms/ev siPixelClusterShapeCache
   -0.061981      -0.01%       148.89 ms/ev ->       139.94 ms/ev pixelPairStepTrackCandidates
   -0.060995      -0.03%       503.94 ms/ev ->       474.11 ms/ev lowPtTripletStepTrackCandidates
   -0.060025      -0.00%         6.55 ms/ev ->         6.17 ms/ev gedGsfElectronCores
   -0.059120      -0.07%      1151.84 ms/ev ->      1085.70 ms/ev particleFlowDisplacedVertexCandidate
   -0.058560      -0.01%       207.81 ms/ev ->       195.98 ms/ev earlyDisplacedMuons
   -0.057985      -0.00%        11.80 ms/ev ->        11.14 ms/ev mtdClusters
   -0.057016      -0.00%         6.93 ms/ev ->         6.54 ms/ev pfCombinedMVAV2BJetTags
   -0.056184      -0.05%       939.01 ms/ev ->       887.70 ms/ev highPtTripletStepTrackCandidates
   -0.053843      -0.00%        41.31 ms/ev ->        39.14 ms/ev ticlMultiClustersFromTrackstersMIP
   -0.050412      -0.08%      1608.97 ms/ev ->      1529.85 ms/ev muons1stStep
   +0.049696      +0.02%       467.91 ms/ev ->       491.76 ms/ev tripletElectronHitTriplets
   -0.049528      -0.00%        28.49 ms/ev ->        27.11 ms/ev pixelPairStepSeeds
   -0.049406      -0.00%        86.18 ms/ev ->        82.02 ms/ev initialStepHitDoublets
